Produto;Preco
Notebook Asus Vivobook 15 Intel Core I5 8GB RAM 256 GB W11 Home Grafite X1504VA-NJ1737W;4699.0
"Notebook Lenovo Ideapad Intel i7 512GB 12GB RAM Tela 15.6"" Windows 11 Cinza";4379.0
"Apple Macbook Air M2 512GB 8 RAM Tela 13"" Cinza A-BI";6840.0
"Notebook Acer AG15-51P-54EE I5 8GB 512GB 15.3"" Azul";3599.0
"Notebook Asus Intel Core I5 Cor Cinza 512GB SSD 8GB RAM Tela 15.6"" Windowns 11";3899.0
"Notebook Gamer Lenovo 512GB 15.6"" Ryzen 12 GB RAM RTX 4050 Preto AT-BI";5969.0
Samsung Galaxy Book4 360 Intel Core 5 Grafite;5373.0
"Notebook Asus Vivobook 15 AMD Ryzen 5 512GB SSD 16GB RAM Tela 15.6"" Windows 11 Home Prata AT-BI";2999.0
"Notebook Gamer MSI NVIDIA i5 15,6"" FHD 512GB 8GB RAM AS-BI";5999.0
"Notebook Gamer Acer Nitro V 16S AI 1TB/32GB Geforce RTX 5060 Tela 16"" 180Hz Preto ANV16S-41-R2AJ A-BI";8999.0
"Notebook HP  Intel N200 SSD 128GB 4GB RAM Tela 14"" Chromebook Prata AT-BI";1299.0
"MacBook Pro M3 512GB SSD 8GB RAM Tela 13,6"" Prata A-BI";9999.0
"Apple MacBook Air Tela 13,6"" M4 16GB 256GB Azul AT-BI";7999.0
MacBook Pro 2024 M4 CPU 10 Núcleos 16GB RAM 512GB SSD Prata A-MBI;10439.0
"Notebook Gamer LOQ I17 512GB SSD 16GBB Tela 15,6"" Windows 11 Preto";6489.0
"Notebook Positivo Vision i15 Intel Core i5 512 SSD 8GB RAM Tela 15.6"" Windows 11 Cinza";2849.0
"Notebook Gamer Asus Rog Strinx i9 512GB SSD 16GB RAM Tela 16"" NVIDIA RTX 4060 Cinza";11169.0
"Apple Macbook Air M4 512GB 16 RAM Tela 13,6"" Prata AT-BI";8999.0
"Notebook Asus Vivobook Intel Core 5 SSD 512GB 16GB RAM Tela 15.6"" Windows 11 Home AT-BI";3299.0
"Notebook HP Chromebook Tela HD 14"" Intel N100 8GB RAM 128GB UFS Gráfico Intel UHD Chrome OS A-BI";1699.0
"Notebook Acer Gateway Chromebook Intel Celeron N4500 64GB Tela 14"" Preto Estelar 314 CBO314-1H-C476 A-BI";1499.0
Notebook Acer AG15-71P-71YM I7-H 13GB Windows 11 Cinza;4699.0
